Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Blessings (feat. Etana),Alborosie,Specialist Presents Alborosie & Friends,2018,216226,4,0.649,0.583,4,-5.953,0,0.304,0.0666,0,0.122,0.645,150.021,46
Herbalist,Alborosie,Soul Pirate,2009,191333,4,0.804,0.607,10,-6.84,0,0.37,0.0773,0,0.0993,0.823,142.421,56
Kingdom Of Zion,Alborosie,Kingdom Of Zion,2010,205000,4,0.664,0.526,11,-12.675,0,0.136,0.015,0.0000461,0.304,0.74,154.014,37
Rastafari Anthem,Alborosie,Soul Pirate,2008,206733,4,0.758,0.643,7,-6.107,1,0.392,0.0353,0,0.134,0.568,76.757,46
Still Blazing,Alborosie,Soul Pirate,2009,230573,4,0.749,0.704,6,-5.415,0,0.269,0.0159,0.00000202,0.0886,0.821,145.618,50
Apartheid Is Nazism - 2010 Remastered Edition,Alpha Blondy,Apartheid Is Nazism (2010 Remastered Edition),2010,287600,4,0.9,0.681,9,-4.681,1,0.0722,0.315,0,0.0494,0.868,131.509,39
Brigadier Sabari,Alpha Blondy,Best Of,1983,283973,4,0.881,0.74,10,-6.763,0,0.159,0.239,0.00000156,0.305,0.961,88.274,36
Cocody Rock - 2010 Remastered Edition,Alpha Blondy,Cocody Rock !!! (2010 Remastered Edition),2010,294000,4,0.796,0.669,6,-6.333,0,0.0912,0.107,0.000113,0.0891,0.96,147.367,55
I Wish You Were Here,Alpha Blondy,Jah Victory,1991,267360,4,0.794,0.57,7,-7.753,1,0.0647,0.0197,0.014,0.104,0.575,143.975,66
Jerusalem,Alpha Blondy,Best Of,1986,469640,4,0.717,0.445,8,-5.726,0,0.0665,0.403,0.000068,0.105,0.695,131.207,43
Breaking Up (Is Hard to Do),Alton Ellis,Mr Soul of Jamaica,1971,180840,4,0.669,0.604,11,-6.202,1,0.143,0.255,0.000578,0.223,0.846,76.525,24
Cry Tough,Alton Ellis,Mr Soul of Jamaica,1967,136186,4,0.702,0.346,9,-13.478,0,0.0433,0.864,0.00019,0.104,0.7,97.006,26
Dance Crasher,Alton Ellis,Mr Soul of Jamaica,1969,161106,4,0.733,0.652,7,-7.585,1,0.0325,0.106,0.000781,0.218,0.968,121.912,30
I'm Just a Guy,Alton Ellis,Sings Rock and Soul,1970,190466,4,0.683,0.42,7,-11.164,1,0.0506,0.204,0.368,0.108,0.4,80.446,12
I'm Still in Love With You,Alton Ellis,Sings Rock and Soul,1970,201493,4,0.738,0.416,7,-9.108,1,0.0322,0.511,0.000197,0.122,0.769,86.535,24
If I Could Rule the World,Alton Ellis,Rebel Music: A Reggae Anthology,1971,147226,4,0.596,0.393,9,-8.97,0,0.0415,0.76,0.0197,0.0741,0.72,91.379,3
Muriel,Alton Ellis,Reggae Legends: Alton Ellis,1970,228813,3,0.356,0.458,5,-10.298,1,0.0404,0.000709,0.855,0.311,0.539,168.634,6
Rock Steady,Alton Ellis,Mr Soul of Jamaica,1967,160266,4,0.677,0.346,0,-9.039,1,0.0595,0.611,0.00613,0.0646,0.778,173.056,48
These Eyes,Alton Ellis,Sunday Coming,1973,173533,4,0.831,0.483,0,-11.005,1,0.231,0.0119,0.00198,0.113,0.622,84.233,30
What Does It Take (To Win Your Love),Alton Ellis,Mr Soul of Jamaica,1970,198053,4,0.807,0.492,5,-9.911,1,0.0461,0.103,0.00382,0.0733,0.853,116.543,48
Don't Turn Around,Aswad,Distant Thunder,1988,220026,4,0.756,0.558,4,-16.157,1,0.0476,0.162,0.0000055,0.0748,0.802,97.002,48
Dub Fire,Aswad,New Chapter Of Dub,1982,270066,4,0.701,0.33,2,-13.127,1,0.0542,0.113,0.15,0.267,0.463,129.233,38
Give A Little Love,Aswad,Distant Thunder,1989,254333,4,0.622,0.468,6,-17.068,0,0.0346,0.0813,0.000056,0.155,0.831,79.325,19
Next To You,Aswad,Too Wicked,1988,219560,4,0.718,0.783,1,-10.879,0,0.0518,0.0181,0.00000429,0.28,0.958,99.688,24
Night Nurse,Aswad,Cool Summer Reggae,1984,207840,4,0.832,0.556,10,-6.965,0,0.0785,0.0246,0.0002,0.0751,0.847,169.946,8
Roots Rocking,Aswad,Live & Direct,1982,245826,4,0.699,0.408,8,-14.477,1,0.215,0.459,0.000352,0.751,0.781,67.661,29
Shine,Aswad,Cool Summer Reggae,1984,226466,4,0.757,0.871,2,-5.543,0,0.0507,0.014,0.00246,0.0544,0.553,104.994,37
Warrior Charge,Aswad,Crucial Tracks,1982,346173,4,0.803,0.467,9,-14.592,0,0.0671,0.0388,0.000179,0.488,0.791,137.556,9
King Tubby Meets The Rockers Uptown,Augustus Pablo,Classic Rockers,1976,153666,4,0.761,0.663,1,-12.255,1,0.0473,0.0193,0.91,0.175,0.822,132.39,38
King Tubby's Meets Rockers Uptown,Augustus Pablo,King Tubbys Meets Rockers Uptown,1976,152813,4,0.804,0.577,1,-11.39,1,0.0441,0.0192,0.884,0.0955,0.429,131.968,43
Black Roses,Barrington Levy,"Original Ragga Muffin, Pt.1",1982,187600,4,0.815,0.521,1,-7.043,1,0.0795,0.0658,0.00435,0.118,0.87,84.985,61
Bounty Hunter,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),1983,185773,4,0.819,0.771,2,-4.196,1,0.0687,0.141,0.474,0.112,0.807,130.18,19
Here I Come,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),1979,217200,4,0.586,0.663,4,-6.547,0,0.0825,0.161,0,0.198,0.693,170.743,59
Money Move,Barrington Levy,The Barrington Levy Collection,1986,202893,4,0.794,0.416,8,-14.604,1,0.332,0.382,0,0.0723,0.819,81.077,13
Murderer,Barrington Levy,"Original Ragga Muffin, Pt.1",1985,233160,4,0.866,0.548,0,-10.064,1,0.261,0.0785,0.272,0.0794,0.579,142.752,61
Too Experienced,Barrington Levy,The Barrington Levy Collection,1984,202240,4,0.738,0.392,10,-13.351,0,0.136,0.103,0,0.208,0.715,175.814,46
Under Mi Sensi,Barrington Levy,Too Experienced - The Best of Barrington Levy,1983,251133,4,0.838,0.498,4,-8.22,0,0.205,0.0179,0.00000171,0.152,0.308,74.313,29
Bad Man Nuh Flee (feat. Mr. Vegas),Beenie Man,The Doctor,2004,194760,4,0.672,0.626,5,-8.195,0,0.281,0.0605,0,0.174,0.661,93.553,30
Call Di Doctor,Beenie Man,Dancehall Generals:,1997,190000,5,0.729,0.817,4,-4.33,0,0.231,0.208,0,0.0919,0.702,128.056,4
Dude,Beenie Man,Back To Basics,2006,255360,4,0.616,0.71,5,-7.05,1,0.264,0.123,0,0.128,0.945,93.938,56
Girls Dem Sugar,Beenie Man,Art And Life,1997,257893,5,0.603,0.782,2,-4.832,1,0.162,0.118,0,0.363,0.731,124.303,56
King Of The Dancehall,Beenie Man,Back To Basics,1997,217106,4,0.81,0.829,5,-5.646,0,0.108,0.34,0,0.0539,0.851,104.695,52
Let Him Go,Beenie Man,The Doctor,2004,207306,4,0.753,0.917,1,-8.629,1,0.0843,0.755,0.0000036,0.0736,0.914,93.677,42
Rum & RedBull,Beenie Man,Rum & RedBull,2006,135650,4,0.744,0.783,7,-5.319,1,0.0954,0.0466,0,0.255,0.839,99.964,51
Who Am I,Beenie Man,Many Moods Of Moses,1998,196000,4,0.628,0.754,11,-8.777,1,0.472,0.21,0,0.12,0.57,86.194,58
Who Am I - Dancehall Remix,Beenie Man,Who Am I (Sim Simma Mixes),1998,211986,4,0.704,0.771,11,-5.883,1,0.297,0.0544,0,0.308,0.597,88.867,6
Ain't That Loving You,Beres Hammond,Can't Stop A Man,1983,228386,4,0.651,0.635,10,-4.92,1,0.0718,0.0614,0,0.276,0.884,143.717,28
Come Back Home,Beres Hammond,Can't Stop A Man,1994,219600,4,0.783,0.73,0,-5.124,0,0.0397,0.00577,0.00000109,0.0555,0.794,83.305,26
I Feel Good,Beres Hammond,A Moment In Time,1996,222960,4,0.632,0.606,7,-5.463,1,0.289,0.0409,0,0.0534,0.62,168.195,51
Love Means Never To Say I'm Sorry,Beres Hammond,Full Attention,1984,231666,4,0.403,0.4,4,-15.412,1,0.311,0.672,0,0.41,0.494,81.341,27
No Disturb Sign,Beres Hammond,In Control,1991,266933,4,0.766,0.752,8,-7.231,1,0.0856,0.062,0.000176,0.11,0.947,153.115,35
Rock Away,Beres Hammond,Music Is Life,1992,239200,4,0.722,0.544,8,-5.924,1,0.075,0.0969,0,0.0836,0.805,83.789,53
She Loves Me Now,Beres Hammond,Songs For Reggae Lovers 2,1994,228506,4,0.672,0.507,9,-8.643,1,0.189,0.166,0.00000855,0.237,0.63,178.894,23
Tempted to Touch,Beres Hammond,A Love Affair,1990,228600,4,0.727,0.469,0,-16.572,1,0.0718,0.000409,0.00218,0.0266,0.667,82.201,46
They Gonna Talk,Beres Hammond,Music Is Life,1996,237200,4,0.742,0.649,9,-6.568,1,0.0811,0.161,0,0.0449,0.903,153.983,49
What One Dance Can Do,Beres Hammond,Can't Stop A Man,1997,252146,4,0.805,0.657,0,-7.067,1,0.0652,0.0329,0,0.0965,0.53,89.946,44
Guess Who's Coming To Dinner,Black Uhuru,Guess Who's Coming To Dinner,1981,381306,4,0.8,0.548,1,-16.243,1,0.0528,0.0326,0.0054,0.0633,0.925,134.942,41
Sinsemilla,Black Uhuru,Sinsemilla,1980,311293,4,0.842,0.562,4,-10.911,0,0.0995,0.0178,0.0263,0.0798,0.725,131.288,40
Sistren,Black Uhuru,Red,1981,274520,4,0.791,0.677,7,-7.279,0,0.0883,0.135,0.0119,0.0498,0.671,139.757,18
Sponji Reggae,Black Uhuru,Red,1980,293493,4,0.801,0.542,7,-9.765,0,0.0679,0.158,0.000621,0.0462,0.917,74.736,35
Buffalo Soldier,Bob Marley & The Wailers,Confrontation,1983,255840,4,0.929,0.463,9,-8.651,1,0.308,0.143,0.0000053,0.0634,0.755,124.084,73
Could You Be Loved,Bob Marley & The Wailers,Uprising,1980,237000,4,0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.761,103.314,82
"Get Up, Stand Up",Bob Marley & The Wailers,Marley (The Original Soundtrack),1973,197840,4,0.772,0.501,10,-9.56,1,0.421,0.163,0,0.0725,0.771,77.882,62
Is This Love,Bob Marley & The Wailers,Kaya,1978,232200,4,0.776,0.561,6,-8.375,0,0.103,0.111,0,0.067,0.743,122.246,78
Jamming,Bob Marley & The Wailers,Exodus,1977,211000,4,0.935,0.479,11,-10.981,0,0.306,0.107,0.0000516,0.118,0.773,123.643,77
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,Live!,1975,427800,4,0.655,0.675,1,-9.352,1,0.086,0.272,0.0234,0.727,0.57,77.588,64
One Love / People Get Ready,Bob Marley & The Wailers,Exodus,1965,172933,4,0.671,0.513,5,-9.598,0,0.366,0.0682,0,0.0674,0.94,154.187,74
"Roots, Rock, Reggae",Bob Marley & The Wailers,Rastaman Vibration,1976,218400,4,0.855,0.473,11,-9.846,0,0.146,0.0719,0.0000271,0.0795,0.682,139.175,68
Stir It Up - Jamaican Version,Bob Marley & The Wailers,Catch A Fire,1967,217800,4,0.688,0.487,9,-8.256,1,0.174,0.157,0.00304,0.0488,0.926,146.035,66
Three Little Birds,Bob Marley & The Wailers,Exodus,1977,180266,4,0.826,0.49,9,-10.477,1,0.0676,0.00916,0.00000441,0.0415,0.627,74.128,80
Waiting In Vain,Bob Marley & The Wailers,Exodus,1977,256239,4,0.767,0.46,8,-11.489,1,0.332,0.028,0.0000209,0.0633,0.803,78.802,71
Champion,Buju Banton,Til Shiloh (25th Anniversary Edition),1995,237280,4,0.788,0.657,4,-7.891,0,0.305,0.0895,0,0.0753,0.52,180.046,52
Destiny,Buju Banton,Inna Heights,1995,238266,4,0.82,0.683,4,-7.686,1,0.0613,0.0231,0,0.217,0.795,134.916,46
Hills And Valleys,Buju Banton,Inna Heights,1995,273040,4,0.687,0.544,3,-8.642,1,0.162,0.477,0,0.0937,0.742,72.082,58
Love Me Browning,Buju Banton,Mr Mention,1995,227866,4,0.784,0.406,0,-10.199,1,0.152,0.206,0,0.0731,0.763,81.995,38
Murderer,Buju Banton,Til Shiloh (25th Anniversary Edition),1995,237053,4,0.806,0.553,0,-7.453,1,0.227,0.159,0.00000606,0.107,0.696,137.949,48
Untold Stories,Buju Banton,Til Shiloh (25th Anniversary Edition),1995,273373,4,0.833,0.502,8,-10.03,1,0.0996,0.607,0,0.109,0.877,130.144,33
Wanna Be Loved,Buju Banton,Til Shiloh (25th Anniversary Edition),1995,244066,4,0.831,0.619,5,-7.338,1,0.148,0.0233,0,0.115,0.611,145.933,45
Dream Land,Bunny Wailer,Blackheart Man,1976,166773,4,0.782,0.43,1,-14.285,1,0.363,0.175,0.000294,0.0603,0.89,72.339,60
Dreamland,Bunny Wailer,Bunny Wailer Sings The Wailers,1976,165573,4,0.865,0.292,1,-16.271,1,0.41,0.0206,0.000107,0.0586,0.818,143.2,42
Mellow Mood,Bunny Wailer,Bunny Wailer Sings The Wailers,1973,231733,4,0.73,0.561,0,-12.851,1,0.203,0.0361,0.0473,0.0493,0.691,80.892,51
The Conqueror - Shashamane Dubplate,Bunny Wailer,"Zulu Warriors Fm, Vol. 4 (Shashamane Int'l Sound)",1980,88659,4,0.771,0.537,1,-8.152,1,0.556,0.575,0,0.328,0.896,141.345,16
Bad to Worst - 2002 Remaster,Burning Spear,Fittest Of The Fittest,2002,210266,4,0.662,0.371,6,-9.319,0,0.0483,0.164,0.0202,0.0743,0.597,144.532,26
Columbus - 2002 Remastered Version,Burning Spear,Hail H.I.M,2002,217333,4,0.682,0.446,7,-9.384,1,0.221,0.316,0.00485,0.0428,0.928,152.088,42
Give Me,Burning Spear,Marcus Garvey,1976,190773,4,0.773,0.513,0,-9.438,1,0.0854,0.055,0.00618,0.151,0.641,133.63,25
Hail H.I.M - 2002 Remastered Version,Burning Spear,Hail H.I.M,2002,255800,4,0.775,0.652,4,-7.881,0,0.0583,0.149,0.18,0.0458,0.671,137.866,48
Jah Nuh Dead,Burning Spear,Live in Peru,1975,336026,4,0.622,0.666,8,-12.32,1,0.0501,0.266,0.0312,0.412,0.78,158.553,12
Man In The Hills,Burning Spear,Man In The Hills,1976,240133,4,0.803,0.413,0,-13.085,1,0.275,0.311,0.0136,0.0744,0.845,140.327,20
Marcus Garvey,Burning Spear,Marcus Garvey,1976,207000,4,0.7,0.473,7,-9.893,0,0.0687,0.129,0.000891,0.0452,0.578,91.558,52
Slavery Days,Burning Spear,Marcus Garvey,1976,213800,4,0.721,0.446,10,-9.426,1,0.0895,0.0374,0.000124,0.0752,0.811,142.611,42
Social Living,Burning Spear,Social Living,1980,169466,4,0.717,0.441,0,-13.713,1,0.131,0.0388,0.0000161,0.171,0.654,130.362,24
Traveling,Burning Spear,Spear Burning Burning Spear V,1978,188400,4,0.803,0.637,1,-6.621,0,0.326,0.269,0.000273,0.0931,0.812,132.795,20
Burning Now,Capleton,Hennessy Riddim,1995,206550,4,0.701,0.428,7,-12.3,1,0.465,0.079,0,0.229,0.564,91.316,0
Fire Man,Capleton,Badman Bible vs Fireman,1996,244480,4,0.569,0.868,10,-6.558,0,0.298,0.00113,0.00000661,0.248,0.323,176.102,5
Jah Jah City,Capleton,More Fire,1996,202733,4,0.567,0.644,10,-8.589,0,0.496,0.0915,0,0.0982,0.823,137.178,44
Prophet Rides Again,Capleton,Prophet Rides Again (Inkalink Allstars),1995,202325,4,0.773,0.633,6,-5.521,0,0.326,0.0256,0,0.243,0.708,86.82,55
That Day Will Come,Capleton,Reign Of Fire,1997,246453,4,0.672,0.838,0,-5.035,0,0.113,0.0677,0,0.114,0.921,153.353,52
Tour,Capleton,Prophecy,1995,286333,4,0.892,0.65,1,-7.251,0,0.107,0.0722,0.00000119,0.0555,0.394,97.061,26
Who Dem,Capleton,The Biggest Ragga Dancehall Anthems 2000,1997,217960,5,0.717,0.837,1,-5.328,1,0.432,0.131,0,0.363,0.899,115.369,40
Here Comes Trouble,Chronixx,Dread & Terrible,2014,234586,4,0.758,0.786,4,-4.897,0,0.108,0.156,0,0.0658,0.786,83.495,60
I Can,Chronixx,Chronology,2013,268494,4,0.573,0.594,9,-6.936,0,0.045,0.549,0,0.14,0.55,94.964,41
Likes,Chronixx,Chronology,2013,258059,4,0.798,0.73,1,-5.992,0,0.0966,0.16,0,0.215,0.91,92,47
Odd Ras,Chronixx,"Chronixx""Odd Ras"" Single",2013,179083,4,0.679,0.776,7,-4.058,1,0.379,0.123,0,0.14,0.861,90.297,38
Selassie Children,Chronixx,Chronology,2013,337912,4,0.743,0.688,8,-5.505,0,0.0643,0.587,0.00000732,0.111,0.537,88.028,34
Skankin' Sweet,Chronixx,Chronology,2013,252125,4,0.739,0.658,0,-5.462,1,0.0762,0.0748,0.00000214,0.101,0.707,77.999,58
Smile Jamaica,Chronixx,Chronology,2013,213149,4,0.796,0.675,8,-6.382,1,0.0916,0.0686,0,0.0286,0.935,148.104,52
Behold Jah Jah,Cocoa Tea,Come Love Me,1990,218840,4,0.847,0.41,9,-12.531,0,0.193,0.0142,0,0.206,0.821,75.986,3
Good Life,Cocoa Tea,Good Life,1990,244573,4,0.825,0.353,0,-11.294,1,0.0616,0.0245,0,0.0843,0.763,82.057,37
Rocking Dolly,Cocoa Tea,Weh Dem A Go Do...Can't Stop Cocoa Tea,1990,231400,4,0.829,0.399,11,-14.301,0,0.0852,0.0167,0.00000263,0.0581,0.843,75.073,28
She Loves Me Now,Cocoa Tea,Good Life,1990,228973,4,0.776,0.324,3,-11.876,1,0.0621,0.00903,0,0.117,0.591,80.03,36
Young Lover,Cocoa Tea,Reggae Anthology: The Sweet Sound Of Cocoa Tea,1990,217693,4,0.832,0.617,6,-7.039,0,0.12,0.0112,0.0000381,0.0857,0.505,166.361,49
I'm Not Ashamed,Culture,Two Sevens Clash (40th Anniversary Edition),1978,239813,4,0.672,0.515,9,-11.045,0,0.048,0.00263,0,0.19,0.769,132.232,28
Jah Rastafari - 2001 Digital Remaster,Culture,International Herb,2001,219133,4,0.756,0.546,9,-9.359,1,0.161,0.205,0,0.329,0.949,75.354,41
Love Shine Bright - 2000 Digital Remaster,Culture,Harder Than The Rest,2000,243533,4,0.767,0.575,10,-8.32,1,0.0436,0.0509,0.0000544,0.0342,0.866,130.544,35
Natty Dread Taking Over,Culture,Two Sevens Clash,1978,226320,4,0.745,0.437,9,-12.217,1,0.0563,0.0863,0.000164,0.117,0.925,129.837,23
See Them A Come,Culture,Two Sevens Clash,1978,200800,4,0.605,0.639,9,-9.014,1,0.227,0.414,0.00000152,0.372,0.951,73.358,21
The International Herb,Culture,Too Long In Slavery,1978,200960,4,0.825,0.433,5,-13.085,0,0.337,0.0585,0,0.0618,0.687,127.686,51
Two Sevens Clash,Culture,Two Sevens Clash (40th Anniversary Edition),1977,209186,4,0.774,0.64,9,-6.614,0,0.1,0.00461,0,0.0868,0.665,136.427,40
Zion Gate,Culture,Baldhead Bridge,1978,218146,4,0.79,0.676,3,-5.273,1,0.0526,0.278,0,0.0772,0.963,142.511,30
Beautiful,Damian Marley,Welcome to Jamrock,2005,287786,4,0.734,0.871,5,-5.013,0,0.105,0.0852,0,0.047,0.849,93.046,48
Grown & Sexy,Damian Marley,Stony Hill,2005,244600,4,0.745,0.516,2,-6.708,1,0.152,0.241,0.0000726,0.147,0.363,94.807,39
Is It Worth It? (Gunman World),Damian Marley,"Set up Shop, Vol. 2",2005,277333,4,0.774,0.725,7,-3.806,1,0.164,0.086,0,0.0933,0.813,83.49,48
It Was Written,Damian Marley,Halfway Tree,2005,361066,4,0.688,0.719,0,-5.014,1,0.283,0.0283,0,0.728,0.546,81.443,47
Khaki Suit,Damian Marley,Welcome to Jamrock,2005,237400,4,0.774,0.81,10,-5.296,0,0.176,0.0191,0,0.195,0.938,170.08,42
Medication,Damian Marley,Stony Hill,2005,222466,4,0.865,0.562,10,-6.811,0,0.251,0.0318,0,0.246,0.81,85.02,66
Pimpa's Paradise,Damian Marley,Welcome to Jamrock,2005,304186,5,0.564,0.836,0,-6.052,1,0.401,0.307,0,0.491,0.571,121.147,49
Road To Zion,Damian Marley,Welcome to Jamrock,2005,317333,4,0.724,0.696,1,-6.326,1,0.201,0.123,0,0.106,0.433,93.607,63
There For You,Damian Marley,Welcome to Jamrock,2005,281346,4,0.595,0.634,10,-6.057,0,0.154,0.374,0,0.0694,0.75,137.771,52
Welcome To Jamrock,Damian Marley,Welcome to Jamrock,2005,213200,4,0.836,0.661,7,-6.502,0,0.338,0.0208,0,0.449,0.753,76.71,70
Cheater,Dennis Brown,Best Reggae Releases,1987,178866,4,0.787,0.509,4,-6.913,0,0.34,0.406,0,0.135,0.806,82.513,9
Here I Come,Dennis Brown,Love & Hate,1978,266200,4,0.856,0.438,7,-10.39,1,0.226,0.0364,0.00000206,0.0905,0.584,74.3,46
How Can I Leave You aka How Could I Live/ Bubbling Love,Dennis Brown,"Joe Gibbs 12"" Reggae Discomix Showcase Vol. 1",1977,520653,4,0.699,0.591,10,-5.245,0,0.168,0.661,0.00000428,0.314,0.879,154.569,28
In His Own Way (feat. Big Youth),Dennis Brown,Reggae Anthology: Gussie Clarke - From The Foundation,1979,449826,4,0.627,0.7,11,-5.979,0,0.0528,0.00183,0.0000221,0.0609,0.857,130.037,4
Love Has Found Its Way,Dennis Brown,Love Has Found Its Way,1981,270840,4,0.773,0.617,8,-8.966,1,0.065,0.076,0.0000457,0.0636,0.843,100.615,46
Money In My Pocket,Dennis Brown,Reflections,1979,153800,4,0.768,0.487,2,-7.026,0,0.161,0.412,0.0000112,0.122,0.848,73.449,45
Promised Land,Dennis Brown,Love & Hate,1980,284800,4,0.746,0.386,10,-11.985,1,0.142,0.408,0,0.0884,0.744,134.626,38
Revolution,Dennis Brown,Love & Hate,1977,262000,4,0.754,0.458,9,-10.558,0,0.163,0.157,0.00000586,0.106,0.744,84.603,55
Westbound Train,Dennis Brown,Just Dennis,1978,182840,4,0.814,0.517,6,-8.766,0,0.0724,0.489,0.00000191,0.0374,0.944,88.805,34
Wolves and Leopards,Dennis Brown,Money in My Pocket: The Best of Dennis Brown,1978,169040,4,0.644,0.36,7,-9.042,1,0.21,0.17,0,0.135,0.63,67.686,1
007 (Shanty Town),Desmond Dekker & The Aces,007 Shanty Town,1969,154293,4,0.866,0.564,9,-7.554,1,0.0902,0.101,0.0994,0.0977,0.876,101.683,54
Israelites,Desmond Dekker & The Aces,Intensified (Bonus Tracks Edition),1969,157693,4,0.709,0.5,10,-8.59,1,0.0488,0.812,0.00000188,0.0915,0.973,73.359,38
It Mek,Desmond Dekker & The Aces,Intensified,1969,152251,4,0.599,0.564,8,-7.793,1,0.0766,0.0344,0.689,0.233,0.665,75.095,49
Keep a Cool Head,Desmond Dekker & The Aces,007 Shanty Town,1969,124280,4,0.723,0.451,5,-7.04,0,0.0315,0.77,0.0161,0.0651,0.897,80.765,26
Mother Long Tongue,Desmond Dekker & The Aces,007 Shanty Town,1970,131053,4,0.8,0.433,10,-8.192,1,0.0311,0.68,0.055,0.0367,0.927,80.96,14
Poor Me Israelites (Desmond Dekker and Desmond Dekker Jnr Collaboration Version) (Desmond Dekker and Desmond Dekker Jnr Collaboration Version),Desmond Dekker & The Aces,Desmond Dekker As You Have Never Heard Before (Remixed By Desmond Dekker Jnr),1969,269226,4,0.726,0.836,0,-12.99,1,0.0395,0.202,0.717,0.12,0.95,106.001,1
